Term	Notes	English	Dutch	French	Italian	German	Spanish	Brazilian Portuguese	Polish	Chinese (Simplified)	Chinese (Traditional)	Japanese	Korean
craftable_mod_idea_skeleton_status		piling bones	piling bones	empilation d'os	piling bones	piling bones	piling bones	piling bones	piling bones	piling bones	piling bones	piling bones	piling bones
craftable_mod_idea_enchanted_shroom_status		bringing mushrooms back to life	bringing mushrooms back to life	ramènement de champignons à la vie	bringing mushrooms back to life	bringing mushrooms back to life	bringing mushrooms back to life	bringing mushrooms back to life	bringing mushrooms back to life	bringing mushrooms back to life	bringing mushrooms back to life	bringing mushrooms back to life	bringing mushrooms back to life
craftable_mod_idea_ghost_status		extracting the soul of the dead	extracting the soul of the dead	extraction de l'âme des morts	extracting the soul of the dead	extracting the soul of the dead	extracting the soul of the dead	extracting the soul of the dead	extracting the soul of the dead	extracting the soul of the dead	extracting the soul of the dead	extracting the soul of the dead	extracting the soul of the dead
craftable_mod_idea_giant_rat_status		feeding the rat	feeding the rat	donnation de nourriture au rat	feeding the rat	feeding the rat	feeding the rat	feeding the rat	feeding the rat	feeding the rat	feeding the rat	feeding the rat	feeding the rat
craftable_mod_idea_ent_status		corrupting the tree	corrupting the tree	corruption de l'arbre	corrupting the tree	corrupting the tree	corrupting the tree	corrupting the tree	corrupting the tree	corrupting the tree	corrupting the tree	corrupting the tree	corrupting the tree
craftable_mod_idea_mimic_status		realizing that all chest are mimics	realizing that all chest are mimics	réalisation que tout les coffres sont des mimiques	realizing that all chest are mimics	realizing that all chest are mimics	realizing that all chest are mimics	realizing that all chest are mimics	realizing that all chest are mimics	realizing that all chest are mimics	realizing that all chest are mimics	realizing that all chest are mimics	realizing that all chest are mimics
craftable_mod_idea_small_slime_status		waiting for the goop to move	waiting for the goop to move	attendant que l'ordures bouge	waiting for the goop to move	waiting for the goop to move	waiting for the goop to move	waiting for the goop to move	waiting for the goop to move	waiting for the goop to move	waiting for the goop to move	waiting for the goop to move	waiting for the goop to move
craftable_mod_idea_slime_status		adding goop to goop	adding goop to goop	ajoutage d'ordure à de l'ordure	adding goop to goop	adding goop to goop	adding goop to goop	adding goop to goop	adding goop to goop	adding goop to goop	adding goop to goop	adding goop to goop	adding goop to goop
craftable_mod_idea_elf_status		making a magic child	making a magic child	création d'un enfant magique	making a magic child	making a magic child	making a magic child	making a magic child	making a magic child	making a magic child	making a magic child	making a magic child	making a magic child
craftable_mod_idea_wicked_witch_status		Learning the dark ways of magic	Learning the dark ways of magic	aprentissage du coté obscur de la magie	Learning the dark ways of magic	Learning the dark ways of magic	Learning the dark ways of magic	Learning the dark ways of magic	Learning the dark ways of magic	Learning the dark ways of magic	Learning the dark ways of magic	Learning the dark ways of magic	Learning the dark ways of magic
craftable_mod_idea_pirate_status		giving your location away	giving your location away	donation de ta position à qui veux	giving your location away	giving your location away	giving your location away	giving your location away	giving your location away	giving your location away	giving your location away	giving your location away	giving your location away
craftable_mod_idea_rare_portal_status		building a rare portal	building a rare portal	fabrication d'un portal rare	building a rare portal	building a rare portal	building a rare portal	building a rare portal	building a rare portal	building a rare portal	building a rare portal	building a rare portal	building a rare portal
craftable_mod_idea_strange_portal_status		building a portal	building a portal	fabrication d'un portal	building a portal	building a portal	building a portal	building a portal	building a portal	building a portal	building a portal	building a portal	building a portal
craftable_mob_idea_trap_name		Trap	Trap	Piège	Trap	Trap	Trap	Trap	Trap	Trap	Trap	Trap	Trap
craftable_mod_idea_trap_status		Catching Animals	Catching Animals	Capturation d'animaux	Catching Animals	Catching Animals	Catching Animals	Catching Animals	Catching Animals	Catching Animals	Catching Animals	Catching Animals	Catching Animals
craftable_mob_rumor_trap_name		Trap	Trap	Piège	Trap	Trap	Trap	Trap	Trap	Trap	Trap	Trap	Trap
